Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-12-02,Colorado Avalanche,4,Montreal Canadiens,1,,20092,2:32,
2021-12-02,Boston Bruins,2,Nashville Predators,0,,17159,2:41,
2021-12-02,San Jose Sharks,2,New York Islanders,1,OT,17255,2:19,
2021-12-02,St. Louis Blues,2,Tampa Bay Lightning,4,,19092,2:27,
2021-12-02,Chicago Blackhawks,4,Washington Capitals,3,SO,18573,2:40,
2021-12-03,Calgary Flames,4,Anaheim Ducks,3,SO,12427,2:38,
2021-12-03,Vegas Golden Knights,7,Arizona Coyotes,1,,12389,2:27,
2021-12-03,San Jose Sharks,0,New York Rangers,1,,16726,2:16,
2021-12-03,Edmonton Oilers,3,Seattle Kraken,4,,17151,2:36,
2021-12-03,New Jersey Devils,4,Winnipeg Jets,8,,13844,2:25,
2021-12-04,Tampa Bay Lightning,3,Boston Bruins,2,OT,17850,2:33,
2021-12-04,Buffalo Sabres,2,Carolina Hurricanes,6,,18680,2:33,
2021-12-04,New York Islanders,3,Detroit Red Wings,4,OT,19152,2:32,
2021-12-04,St. Louis Blues,3,Florida Panthers,4,SO,13446,2:43,
2021-12-04,Toronto Maple Leafs,3,Minnesota Wild,4,SO,18568,2:47,
2021-12-04,Montreal Canadiens,3,Nashville Predators,4,OT,17159,2:44,
2021-12-04,Chicago Blackhawks,2,New York Rangers,3,,17046,2:32,
2021-12-04,Colorado Avalanche,5,Ottawa Senators,6,OT,14237,2:50,
2021-12-04,Pittsburgh Penguins,4,Vancouver Canucks,1,,18422,2:24,
2021-12-04,Columbus Blue Jackets,1,Washington Capitals,3,,18573,2:14,
2021-12-05,San Jose Sharks,4,Columbus Blue Jackets,6,,16824,2:31,
2021-12-05,Los Angeles Kings,5,Edmonton Oilers,1,,15658,2:26,
2021-12-05,Chicago Blackhawks,3,New York Islanders,2,SO,17255,2:32,
2021-12-05,Tampa Bay Lightning,7,Philadelphia Flyers,1,,16014,2:33,
2021-12-05,Calgary Flames,2,Vegas Golden Knights,3,,18077,2:31,
2021-12-05,Toronto Maple Leafs,3,Winnipeg Jets,6,,14461,2:31,
2021-12-06,Arizona Coyotes,1,Dallas Stars,4,,17256,2:22,
2021-12-06,Ottawa Senators,3,New Jersey Devils,2,SO,10312,2:37,
2021-12-06,Colorado Avalanche,7,Philadelphia Flyers,5,,16649,2:36,
2021-12-06,Pittsburgh Penguins,6,Seattle Kraken,1,,17151,2:24,
2021-12-06,Los Angeles Kings,0,Vancouver Canucks,4,,18591,2:22,
2021-12-06,Anaheim Ducks,3,Washington Capitals,4,SO,18573,2:40,
2021-12-07,Anaheim Ducks,2,Buffalo Sabres,0,,8133,2:16,
2021-12-07,New York Rangers,6,Chicago Blackhawks,2,,17207,2:37,
2021-12-07,Nashville Predators,5,Detroit Red Wings,2,,15539,2:28,
2021-12-07,Minnesota Wild,4,Edmonton Oilers,1,,14715,2:21,
2021-12-07,Tampa Bay Lightning,3,Montreal Canadiens,2,,19976,2:23,
2021-12-07,New York Islanders,5,Ottawa Senators,3,,10229,2:22,
2021-12-07,Calgary Flames,3,San Jose Sharks,5,,10534,2:20,
2021-12-07,Florida Panthers,3,St. Louis Blues,4,OT,16372,2:28,
2021-12-07,Columbus Blue Jackets,4,Toronto Maple Leafs,5,,18793,2:26,
2021-12-07,Carolina Hurricanes,4,Winnipeg Jets,2,,13761,2:28,
2021-12-08,Philadelphia Flyers,0,New Jersey Devils,3,,12163,2:28,
2021-12-08,Colorado Avalanche,7,New York Rangers,3,,16714,2:28,
2021-12-08,Boston Bruins,1,Vancouver Canucks,2,SO,18403,2:45,
2021-12-08,Dallas Stars,4,Vegas Golden Knights,5,,17843,2:28,
2021-12-09,Anaheim Ducks,2,Columbus Blue Jackets,1,SO,16029,2:39,
2021-12-09,Carolina Hurricanes,2,Calgary Flames,1,OT,15620,2:30,
2021-12-09,Boston Bruins,3,Edmonton Oilers,2,,16112,2:32,
2021-12-09,Dallas Stars,0,Los Angeles Kings,4,,13659,2:23,
2021-12-09,Chicago Blackhawks,2,Montreal Canadiens,0,,20447,2:14,
2021-12-09,Nashville Predators,4,New York Islanders,3,,17255,2:29,
2021-12-09,Winnipeg Jets,3,Seattle Kraken,0,,17151,2:25,
2021-12-09,Minnesota Wild,5,San Jose Sharks,2,,10782,2:21,
2021-12-09,Detroit Red Wings,2,St. Louis Blues,6,,18096,2:17,
2021-12-09,Tampa Bay Lightning,5,Toronto Maple Leafs,3,,18919,2:29,
2021-12-10,Florida Panthers,3,Arizona Coyotes,1,,11974,2:24,
2021-12-10,New York Rangers,2,Buffalo Sabres,1,,9703,2:27,
2021-12-10,Detroit Red Wings,3,Colorado Avalanche,7,,18021,2:27,
2021-12-10,Nashville Predators,3,New Jersey Devils,2,,14218,2:29,
2021-12-10,Winnipeg Jets,3,Vancouver Canucks,4,SO,18457,2:42,
2021-12-10,Philadelphia Flyers,4,Vegas Golden Knights,3,,18011,2:38,
2021-12-10,Pittsburgh Penguins,4,Washington Capitals,2,,18573,2:29,
2021-12-11,Philadelphia Flyers,5,Arizona Coyotes,3,,10562,2:20,
2021-12-11,Washington Capitals,3,Buffalo Sabres,2,SO,9554,2:38,
2021-12-11,Boston Bruins,4,Calgary Flames,2,,16190,2:40,
2021-12-11,Carolina Hurricanes,3,Edmonton Oilers,1,,18025,2:28,
2021-12-11,Minnesota Wild,1,Los Angeles Kings,2,,15897,2:25,
2021-12-11,New Jersey Devils,2,New York Islanders,4,,17255,2:29,
2021-12-11,Tampa Bay Lightning,0,Ottawa Senators,4,,13076,2:20,
2021-12-11,Anaheim Ducks,0,Pittsburgh Penguins,1,,17435,2:20,
2021-12-11,Columbus Blue Jackets,5,Seattle Kraken,4,OT,17151,2:29,
2021-12-11,Dallas Stars,1,San Jose Sharks,2,,14145,2:22,
2021-12-11,Montreal Canadiens,1,St. Louis Blues,4,,16829,2:18,
2021-12-11,Chicago Blackhawks,4,Toronto Maple Leafs,5,,18934,2:20,
2021-12-12,Florida Panthers,2,Colorado Avalanche,3,,16548,2:47,
2021-12-12,Nashville Predators,1,New York Rangers,0,,16177,2:17,
2021-12-12,Anaheim Ducks,3,St. Louis Blues,2,OT,17010,2:21,
2021-12-12,Carolina Hurricanes,1,Vancouver Canucks,2,,18714,2:19,
2021-12-12,Minnesota Wild,4,Vegas Golden Knights,6,,18001,2:31,
2021-12-14,Vegas Golden Knights,4,Boston Bruins,1,,17850,2:24,
2021-12-14,New York Rangers,2,Colorado Avalanche,4,,17198,2:35,
2021-12-14,St. Louis Blues,4,Dallas Stars,1,,18012,2:33,
2021-12-14,New York Islanders,1,Detroit Red Wings,2,,16884,2:23,
2021-12-14,Toronto Maple Leafs,5,Edmonton Oilers,1,,18131,2:18,
2021-12-14,Ottawa Senators,8,Florida Panthers,2,,13759,2:35,
2021-12-14,New Jersey Devils,1,Philadelphia Flyers,6,,18594,2:29,
2021-12-14,Montreal Canadiens,2,Pittsburgh Penguins,5,,17005,2:22,
2021-12-14,Seattle Kraken,3,San Jose Sharks,1,,12403,2:12,
2021-12-14,Los Angeles Kings,2,Tampa Bay Lightning,3,OT,19092,2:25,
2021-12-14,Columbus Blue Jackets,3,Vancouver Canucks,4,,18412,2:34,
2021-12-14,Buffalo Sabres,4,Winnipeg Jets,2,,13484,2:15,
2021-12-15,Seattle Kraken,1,Anaheim Ducks,4,,14762,2:17,
2021-12-15,New York Rangers,3,Arizona Coyotes,2,,11380,2:25,
2021-12-15,Washington Capitals,4,Chicago Blackhawks,5,OT,18260,2:30,
2021-12-16,Detroit Red Wings,3,Carolina Hurricanes,5,,16017,2:27,
2021-12-16,Columbus Blue Jackets,2,Edmonton Oilers,5,,15022,2:27,
2021-12-16,Los Angeles Kings,4,Florida Panthers,1,,14458,2:26,
2021-12-16,Buffalo Sabres,3,Minnesota Wild,2,SO,18022,2:36,
2021-12-16,Philadelphia Flyers,2,Montreal Canadiens,3,SO,,2:34,
2021-12-16,Vegas Golden Knights,5,New Jersey Devils,3,,12724,2:36,
2021-12-16,Colorado Avalanche,2,Nashville Predators,5,,17184,2:28,
2021-12-16,Boston Bruins,1,New York Islanders,3,,17255,2:28,
2021-12-16,Vancouver Canucks,5,San Jose Sharks,2,,10340,2:17,
2021-12-16,Ottawa Senators,1,Tampa Bay Lightning,2,,19092,2:24,
2021-12-17,Arizona Coyotes,6,Anaheim Ducks,5,OT,14135,2:34,
2021-12-17,Nashville Predators,3,Chicago Blackhawks,2,OT,18298,2:26,
2021-12-17,Vegas Golden Knights,3,New York Rangers,2,SO,17400,2:37,
2021-12-17,Buffalo Sabres,2,Pittsburgh Penguins,3,OT,17456,2:33,
2021-12-17,Dallas Stars,1,St. Louis Blues,4,,16852,2:30,
2021-12-17,Washington Capitals,5,Winnipeg Jets,2,,14039,2:25,
2021-12-18,Los Angeles Kings,1,Carolina Hurricanes,5,,16238,2:23,
2021-12-18,Chicago Blackhawks,3,Dallas Stars,4,OT,18532,2:40,
2021-12-18,New Jersey Devils,2,Detroit Red Wings,5,,19015,2:27,
2021-12-18,Ottawa Senators,3,Philadelphia Flyers,4,OT,18437,2:34,
2021-12-18,Edmonton Oilers,5,Seattle Kraken,3,,17151,2:28,
2021-12-19,Pittsburgh Penguins,3,New Jersey Devils,2,,14857,2:22,
2021-12-19,Vegas Golden Knights,4,New York Islanders,3,SO,17255,2:37,
2021-12-19,St. Louis Blues,2,Winnipeg Jets,4,,13524,2:24,
2021-12-19,Los Angeles Kings,3,Washington Capitals,2,,18573,2:37,
2021-12-20,Minnesota Wild,4,Dallas Stars,7,,18237,2:28,
2021-12-21,Tampa Bay Lightning,4,Vegas Golden Knights,3,,18217,2:31,
2021-12-28,Vegas Golden Knights,6,Los Angeles Kings,3,,14887,2:26,
2021-12-28,Arizona Coyotes,7,San Jose Sharks,8,SO,11450,2:39,
2021-12-28,Montreal Canadiens,4,Tampa Bay Lightning,5,OT,19092,2:39,
2021-12-29,Vancouver Canucks,2,Anaheim Ducks,1,OT,11866,2:28,
2021-12-29,New Jersey Devils,4,Buffalo Sabres,3,,11511,2:13,
2021-12-29,New York Rangers,3,Florida Panthers,4,,15857,2:34,
2021-12-29,Philadelphia Flyers,3,Seattle Kraken,2,OT,17151,2:31,
2021-12-29,Edmonton Oilers,2,St. Louis Blues,4,,18096,2:21,
2021-12-29,Nashville Predators,3,Washington Capitals,5,,18573,2:42,
2021-12-30,Montreal Canadiens,0,Carolina Hurricanes,4,,17722,2:27,
2021-12-30,Nashville Predators,3,Columbus Blue Jackets,4,SO,17494,2:48,
2021-12-30,Tampa Bay Lightning,3,Florida Panthers,9,,15001,2:38,
2021-12-30,Vancouver Canucks,1,Los Angeles Kings,2,SO,14514,2:36,
2021-12-30,Buffalo Sabres,1,New York Islanders,4,,17255,2:22,
2021-12-30,Calgary Flames,6,Seattle Kraken,4,,17151,2:34,
2021-12-30,Philadelphia Flyers,2,San Jose Sharks,3,OT,12540,2:34,
2021-12-31,Washington Capitals,3,Detroit Red Wings,1,,17721,2:23,
2021-12-31,Edmonton Oilers,5,New Jersey Devils,6,OT,13044,2:41,
2021-12-31,New York Rangers,4,Tampa Bay Lightning,3,SO,19092,2:42,
2021-12-31,Anaheim Ducks,1,Vegas Golden Knights,3,,18022,2:32,
2022-01-01,Buffalo Sabres,3,Boston Bruins,4,OT,17850,2:39,
2022-01-01,Carolina Hurricanes,7,Columbus Blue Jackets,4,,15736,2:29,
2022-01-01,Montreal Canadiens,2,Florida Panthers,5,,13584,2:27,
2022-01-01,Philadelphia Flyers,3,Los Angeles Kings,6,,14301,2:39,
2022-01-01,St. Louis Blues,6,Minnesota Wild,4,,38619,2:42,at Target Field (Minneapolis MN)
2022-01-01,Chicago Blackhawks,1,Nashville Predators,6,,17504,2:28,
2022-01-01,Edmonton Oilers,2,New York Islanders,3,OT,17255,2:26,
2022-01-01,Vancouver Canucks,5,Seattle Kraken,2,,17151,2:34,
2022-01-01,Ottawa Senators,0,Toronto Maple Leafs,6,,989,2:22,
2022-01-02,Calgary Flames,5,Chicago Blackhawks,1,,17454,2:21,
2022-01-02,Anaheim Ducks,2,Colorado Avalanche,4,,17305,2:26,
2022-01-02,Boston Bruins,5,Detroit Red Wings,1,,17973,2:29,
2022-01-02,Tampa Bay Lightning,0,New York Rangers,4,,16885,2:29,
2022-01-02,San Jose Sharks,5,Pittsburgh Penguins,8,,18066,2:27,
2022-01-02,Winnipeg Jets,5,Vegas Golden Knights,4,OT,17888,2:31,
2022-01-02,New Jersey Devils,4,Washington Capitals,3,OT,18573,2:36,
2022-01-03,Edmonton Oilers,1,New York Rangers,4,,16979,2:24,
2022-01-04,Philadelphia Flyers,1,Anaheim Ducks,4,,11375,2:37,
2022-01-04,Winnipeg Jets,3,Arizona Coyotes,1,,8173,2:18,
2022-01-04,New Jersey Devils,3,Boston Bruins,5,,17850,2:38,
2022-01-04,Tampa Bay Lightning,7,Columbus Blue Jackets,2,,14816,2:25,
2022-01-04,Colorado Avalanche,4,Chicago Blackhawks,3,OT,16784,2:35,
2022-01-04,San Jose Sharks,2,Detroit Red Wings,6,,14524,2:37,
2022-01-04,Calgary Flames,2,Florida Panthers,6,,13164,2:29,
2022-01-04,Nashville Predators,3,Vegas Golden Knights,2,,17804,2:40,
2022-01-05,St. Louis Blues,3,Pittsburgh Penguins,5,,17921,2:33,
2022-01-05,Edmonton Oilers,2,Toronto Maple Leafs,4,,,2:26,
2022-01-06,Chicago Blackhawks,4,Arizona Coyotes,6,,11632,2:33,
2022-01-06,Minnesota Wild,3,Boston Bruins,2,,17850,2:40,
2022-01-06,San Jose Sharks,3,Buffalo Sabres,2,,8117,2:22,
2022-01-06,Winnipeg Jets,1,Colorado Avalanche,7,,15171,2:29,
2022-01-06,Florida Panthers,5,Dallas Stars,6,SO,17678,2:49,
2022-01-06,Nashville Predators,4,Los Angeles Kings,2,,14359,2:38,
2022-01-06,Columbus Blue Jackets,1,New Jersey Devils,3,,11523,2:20,
2022-01-06,Pittsburgh Penguins,6,Philadelphia Flyers,2,,17944,2:21,
2022-01-06,Calgary Flames,1,Tampa Bay Lightning,4,,19092,2:35,
2022-01-06,New York Rangers,1,Vegas Golden Knights,5,,18117,2:19,
2022-01-07,Calgary Flames,3,Carolina Hurricanes,6,,16281,2:30,
2022-01-07,Washington Capitals,1,St. Louis Blues,5,,18096,2:21,
2022-01-08,New York Rangers,4,Anaheim Ducks,1,,15146,2:28,
2022-01-08,Nashville Predators,4,Arizona Coyotes,2,,10317,2:43,
2022-01-08,Florida Panthers,4,Carolina Hurricanes,3,OT,18680,2:37,
2022-01-08,New Jersey Devils,3,Columbus Blue Jackets,4,,18680,2:33,
2022-01-08,Toronto Maple Leafs,4,Colorado Avalanche,5,OT,17354,2:34,
2022-01-08,Pittsburgh Penguins,2,Dallas Stars,3,,18532,2:25,
2022-01-08,Detroit Red Wings,0,Los Angeles Kings,4,,17321,2:29,
2022-01-08,Washington Capitals,2,Minnesota Wild,3,SO,19078,2:48,
2022-01-08,San Jose Sharks,3,Philadelphia Flyers,2,OT,15600,2:31,
2022-01-08,Boston Bruins,5,Tampa Bay Lightning,2,,19092,2:32,
2022-01-08,Chicago Blackhawks,2,Vegas Golden Knights,1,,18367,2:19,
2022-01-09,Detroit Red Wings,3,Anaheim Ducks,4,SO,12043,2:40,
2022-01-09,Dallas Stars,1,St. Louis Blues,2,,18096,2:22,
2022-01-10,Seattle Kraken,3,Colorado Avalanche,4,,17516,2:27,
2022-01-10,New York Rangers,1,Los Angeles Kings,3,,13558,2:18,
2022-01-10,Boston Bruins,7,Washington Capitals,3,,18573,2:39,
2022-01-11,Pittsburgh Penguins,4,Anaheim Ducks,1,,11431,2:26,
2022-01-11,Tampa Bay Lightning,6,Buffalo Sabres,1,,8368,2:18,
2022-01-11,Chicago Blackhawks,4,Columbus Blue Jackets,2,,15444,2:16,
2022-01-11,Vancouver Canucks,2,Florida Panthers,5,,15041,2:34,
2022-01-11,Colorado Avalanche,4,Nashville Predators,5,OT,17159,2:42,
2022-01-11,Detroit Red Wings,2,San Jose Sharks,3,OT,10489,2:25,
2022-01-11,Toronto Maple Leafs,4,Vegas Golden Knights,3,SO,17911,2:38,
2022-01-12,Toronto Maple Leafs,1,Arizona Coyotes,2,,10031,2:19,
2022-01-12,Montreal Canadiens,1,Boston Bruins,5,,17850,2:39,
2022-01-12,Seattle Kraken,2,Dallas Stars,5,,17825,2:29,
2022-01-13,Philadelphia Flyers,2,Boston Bruins,3,,17850,2:36,
2022-01-13,Columbus Blue Jackets,6,Carolina Hurricanes,0,,15979,2:18,
2022-01-13,Ottawa Senators,4,Calgary Flames,1,,9639,2:17,
2022-01-13,Montreal Canadiens,2,Chicago Blackhawks,3,OT,17472,2:25,
2022-01-13,Winnipeg Jets,3,Detroit Red Wings,0,,16829,2:23,
2022-01-13,Pittsburgh Penguins,2,Los Angeles Kings,6,,14348,2:24,
2022-01-13,Buffalo Sabres,4,Nashville Predators,1,,17159,2:25,
2022-01-13,New Jersey Devils,2,New York Islanders,3,,17255,2:27,
2022-01-13,New York Rangers,3,San Jose Sharks,0,,10919,2:22,
2022-01-13,Seattle Kraken,1,St. Louis Blues,2,,17017,2:19,
2022-01-13,Vancouver Canucks,2,Tampa Bay Lightning,4,,19092,2:29,
2022-01-14,Arizona Coyotes,3,Colorado Avalanche,4,SO,17072,2:37,
2022-01-14,Dallas Stars,1,Florida Panthers,7,,15022,2:33,
2022-01-14,Anaheim Ducks,3,Minnesota Wild,7,,18300,2:35,
2022-01-15,Boston Bruins,4,Nashville Predators,3,OT,14000,2:00,
2022-01-15,Carolina Hurricanes,4,Vancouver Canucks,1,,16000,2:00,
2022-01-15,New York Islanders,0,Washington Capitals,2,,16000,2:00,
2022-01-15,Florida Panthers,9,Columbus Blue Jackets,2,,16000,2:00,
2022-01-15,St. Louis Blues,5,Toronto Maple Leafs,6,,16000,2:00,
2022-01-15,Detroit Red Wings,4,Buffalo Sabres,0,,16000,2:00,
2022-01-15,Tampa Bay Lightning,3,Dallas Stars,1,,16000,2:00,
2022-01-15,Philadelphia Flyers,2,New York Rangers,3,,16000,2:00,
2022-01-15,Chicago Blackhawks,3,Anaheim Ducks,0,,16000,2:00,
2022-01-15,Arizona Coyotes,0,Colorado Avalanche,5,,16000,2:00,
2022-01-15,Seattle Kraken,1,Los Angeles Kings,3,,16000,2:00,
2022-01-15,Edmonton Oilers,4,Ottawa Senators,6,,16000,2:00,
2022-01-15,San Jose Sharks,1,Pittsburgh Penguins,2,,16000,2:00,
